trip_id, arrival_time, departure_time, stop_id, stop_sequence
RX_10_1_036KM_021016,13:56:00,13:56:00,41375,6
RX_10_1_036KM_021016,13:57:00,13:57:00,41199,8
RX_10_1_036KM_021018,14:45:00,14:45:00,41194,1
RX_10_1_036KM_021018,14:54:00,14:54:00,41195,3
RX_10_1_036KM_021018,15:06:00,15:06:00,41197,4
RX_10_1_036KM_021018,15:11:00,15:11:00,41375,6
RX_10_1_036KM_021018,15:12:00,15:12:00,41199,8
RX_10_1_036KM_021020,16:00:00,16:00:00,41194,1
RX_10_1_036KM_021020,16:09:00,16:09:00,41195,3
RX_10_1_036KM_021020,16:21:00,16:21:00,41197,4
RX_10_1_036KM_021020,16:26:00,16:26:00,41375,6
RX_10_1_036KM_021020,16:27:00,16:27:00,41199,8
RX_10_1_036KM_021022,17:15:00,17:15:00,41194,1
RX_10_1_036KM_021022,17:24:00,17:24:00,41195,3
RX_10_1_036KM_021022,17:36:00,17:36:00,41197,4
RX_10_1_036KM_021022,17:41:00,17:41:00,41375,6
RX_10_1_036KM_021022,17:42:00,17:42:00,41199,8
RX_10_1_036KM_021024,18:30:00,18:30:00,41194,1
RX_10_1_036KM_021024,18:39:00,18:39:00,41195,3
RX_10_1_036KM_021024,18:51:00,18:51:00,41197,4
RX_10_1_036KM_021024,18:56:00,18:56:00,41375,6
RX_10_1_036KM_021024,18:57:00,18:57:00,41199,8
RX_10_1_036KM_021026,19:45:00,19:45:00,41194,1
RX_10_1_036KM_021026,19:54:00,19:54:00,41195,3
RX_10_1_036KM_021026,20:06:00,20:06:00,41197,4
RX_10_1_036KM_021026,20:11:00,20:11:00,41375,6
RX_10_1_036KM_021026,20:12:00,20:12:00,41199,8
RX_10_1_036KM_021028,21:00:00,21:00:00,41194,1
RX_10_1_036KM_021028,21:09:00,21:09:00,41195,3
RX_10_1_036KM_021028,21:21:00,21:21:00,41197,4
RX_10_1_036KM_021028,21:26:00,21:26:00,41375,6
RX_10_1_036KM_021028,21:27:00,21:27:00,41199,8
RX_10_1_036KM_021030,22:00:00,22:00:00,41194,1
RX_10_1_036KM_021030,22:09:00,22:09:00,41195,3
RX_10_1_036KM_021030,22:21:00,22:21:00,41197,4
RX_10_1_036KM_021030,22:26:00,22:26:00,41375,6
RX_10_1_036KM_021030,22:27:00,22:27:00,41199,8
RX_10_1_036KM_021032,23:00:00,23:00:00,41194,1
RX_10_1_036KM_021032,23:09:00,23:09:00,41195,3
RX_10_1_036KM_021032,23:21:00,23:21:00,41197,4
RX_10_1_036KM_021032,23:26:00,23:26:00,41375,6
RX_10_1_036KM_021032,23:27:00,23:27:00,41199,8
RX_10_1_036KM_021034,24:00:00,24:00:00,41194,1
RX_10_1_036KM_021034,24:09:00,24:09:00,41195,3
RX_10_1_036KM_021034,24:21:00,24:21:00,41197,4
RX_10_1_036KM_021034,24:26:00,24:26:00,41375,6
RX_10_1_036KM_021034,24:27:00,24:27:00,41199,8
RX_10_1_036KM_031002,06:15:00,06:15:00,41194,1
RX_10_1_036KM_031002,06:24:00,06:24:00,41195,3
RX_10_1_036KM_031002,06:36:00,06:36:00,41197,4
RX_10_1_036KM_031002,06:41:00,06:41:00,41375,6
RX_10_1_036KM_031002,06:42:00,06:42:00,41199,8
RX_10_1_036KM_031004,07:30:00,07:30:00,41194,1
RX_10_1_036KM_031004,07:39:00,07:39:00,41195,3
RX_10_1_036KM_031004,07:51:00,07:51:00,41197,4
RX_10_1_036KM_031004,07:56:00,07:56:00,41375,6
RX_10_1_036KM_031004,07:57:00,07:57:00,41199,8
RX_10_1_036KM_031006,08:45:00,08:45:00,41194,1
RX_10_1_036KM_031006,08:54:00,08:54:00,41195,3
RX_10_1_036KM_031006,09:06:00,09:06:00,41197,4
RX_10_1_036KM_031006,09:11:00,09:11:00,41375,6
RX_10_1_036KM_031006,09:12:00,09:12:00,41199,8
RX_10_1_036KM_031008,10:00:00,10:00:00,41194,1
RX_10_1_036KM_031008,10:09:00,10:09:00,41195,3
RX_10_1_036KM_031008,10:21:00,10:21:00,41197,4
RX_10_1_036KM_031008,10:26:00,10:26:00,41375,6
RX_10_1_036KM_031008,10:27:00,10:27:00,41199,8
RX_10_1_036KM_031010,11:15:00,11:15:00,41194,1
RX_10_1_036KM_031010,11:24:00,11:24:00,41195,3
RX_10_1_036KM_031010,11:36:00,11:36:00,41197,4
RX_10_1_036KM_031010,11:41:00,11:41:00,41375,6
RX_10_1_036KM_031010,11:42:00,11:42:00,41199,8
RX_10_1_036KM_031012,12:30:00,12:30:00,41194,1
RX_10_1_036KM_031012,12:39:00,12:39:00,41195,3
RX_10_1_036KM_031012,12:51:00,12:51:00,41197,4
RX_10_1_036KM_031012,12:56:00,12:56:00,41375,6
RX_10_1_036KM_031012,12:57:00,12:57:00,41199,8
RX_10_1_036KM_031014,13:45:00,13:45:00,41194,1
RX_10_1_036KM_031014,13:54:00,13:54:00,41195,3
RX_10_1_036KM_031014,14:06:00,14:06:00,41197,4
RX_10_1_036KM_031014,14:11:00,14:11:00,41375,6
RX_10_1_036KM_031014,14:12:00,14:12:00,41199,8
RX_10_1_036KM_031016,15:00:00,15:00:00,41194,1
RX_10_1_036KM_031016,15:09:00,15:09:00,41195,3
RX_10_1_036KM_031016,15:21:00,15:21:00,41197,4
RX_10_1_036KM_031016,15:26:00,15:26:00,41375,6
RX_10_1_036KM_031016,15:27:00,15:27:00,41199,8
RX_10_1_036KM_031018,16:15:00,16:15:00,41194,1
RX_10_1_036KM_031018,16:24:00,16:24:00,41195,3
RX_10_1_036KM_031018,16:36:00,16:36:00,41197,4
RX_10_1_036KM_031018,16:41:00,16:41:00,41375,6
RX_10_1_036KM_031018,16:42:00,16:42:00,41199,8
RX_10_1_036KM_031020,17:30:00,17:30:00,41194,1
RX_10_1_036KM_031020,17:39:00,17:39:00,41195,3
RX_10_1_036KM_031020,17:51:00,17:51:00,41197,4
RX_10_1_036KM_031020,17:56:00,17:56:00,41375,6
RX_10_1_036KM_031020,17:57:00,17:57:00,41199,8
RX_10_1_036KM_031022,18:45:00,18:45:00,41194,1
RX_10_1_036KM_031022,18:54:00,18:54:00,41195,3
RX_10_1_036KM_031022,19:06:00,19:06:00,41197,4
RX_10_1_036KM_031022,19:11:00,19:11:00,41375,6
RX_10_1_036KM_031022,19:12:00,19:12:00,41199,8
RX_10_1_036KM_031024,20:00:00,20:00:00,41194,1
RX_10_1_036KM_031024,20:09:00,20:09:00,41195,3
RX_10_1_036KM_031024,20:21:00,20:21:00,41197,4
RX_10_1_036KM_031024,20:26:00,20:26:00,41375,6
RX_10_1_036KM_031024,20:27:00,20:27:00,41199,8
RX_10_1_036KM_041002,06:30:00,06:30:00,41194,1
RX_10_1_036KM_041002,06:39:00,06:39:00,41195,3
RX_10_1_036KM_041002,06:51:00,06:51:00,41197,4
RX_10_1_036KM_041002,06:56:00,06:56:00,41375,6
RX_10_1_036KM_041002,06:57:00,06:57:00,41199,8
RX_10_1_036KM_041004,07:45:00,07:45:00,41194,1
RX_10_1_036KM_041004,07:54:00,07:54:00,41195,3
RX_10_1_036KM_041004,08:06:00,08:06:00,41197,4
RX_10_1_036KM_041004,08:11:00,08:11:00,41375,6
RX_10_1_036KM_041004,08:12:00,08:12:00,41199,8
RX_10_1_036KM_041006,09:00:00,09:00:00,41194,1
RX_10_1_036KM_041006,09:09:00,09:09:00,41195,3
RX_10_1_036KM_041006,09:21:00,09:21:00,41197,4
RX_10_1_036KM_041006,09:26:00,09:26:00,41375,6
RX_10_1_036KM_041006,09:27:00,09:27:00,41199,8
RX_10_1_036KM_041008,10:15:00,10:15:00,41194,1
RX_10_1_036KM_041008,10:24:00,10:24:00,41195,3
RX_10_1_036KM_041008,10:36:00,10:36:00,41197,4
RX_10_1_036KM_041008,10:41:00,10:41:00,41375,6
RX_10_1_036KM_041008,10:42:00,10:42:00,41199,8
RX_10_1_036KM_041010,11:30:00,11:30:00,41194,1
RX_10_1_036KM_041010,11:39:00,11:39:00,41195,3
RX_10_1_036KM_041010,11:51:00,11:51:00,41197,4
RX_10_1_036KM_041010,11:56:00,11:56:00,41375,6
RX_10_1_036KM_041010,11:57:00,11:57:00,41199,8
RX_10_1_036KM_041012,12:45:00,12:45:00,41194,1
RX_10_1_036KM_041012,12:54:00,12:54:00,41195,3
RX_10_1_036KM_041012,13:06:00,13:06:00,41197,4
RX_10_1_036KM_041012,13:11:00,13:11:00,41375,6
RX_10_1_036KM_041012,13:12:00,13:12:00,41199,8
RX_10_1_036KM_041014,14:00:00,14:00:00,41194,1
RX_10_1_036KM_041014,14:09:00,14:09:00,41195,3
RX_10_1_036KM_041014,14:21:00,14:21:00,41197,4
RX_10_1_036KM_041014,14:26:00,14:26:00,41375,6
RX_10_1_036KM_041014,14:27:00,14:27:00,41199,8
RX_10_1_036KM_041016,15:15:00,15:15:00,41194,1
RX_10_1_036KM_041016,15:24:00,15:24:00,41195,3
RX_10_1_036KM_041016,15:36:00,15:36:00,41197,4
RX_10_1_036KM_041016,15:41:00,15:41:00,41375,6
RX_10_1_036KM_041016,15:42:00,15:42:00,41199,8
RX_10_1_036KM_041018,16:30:00,16:30:00,41194,1
RX_10_1_036KM_041018,16:39:00,16:39:00,41195,3
RX_10_1_036KM_041018,16:51:00,16:51:00,41197,4
RX_10_1_036KM_041018,16:56:00,16:56:00,41375,6
RX_10_1_036KM_041018,16:57:00,16:57:00,41199,8
RX_10_1_036KM_041020,17:45:00,17:45:00,41194,1
RX_10_1_036KM_041020,17:54:00,17:54:00,41195,3
RX_10_1_036KM_041020,18:06:00,18:06:00,41197,4
RX_10_1_036KM_041020,18:11:00,18:11:00,41375,6
RX_10_1_036KM_041020,18:12:00,18:12:00,41199,8
RX_10_1_036KM_041022,19:00:00,19:00:00,41194,1
RX_10_1_036KM_041022,19:09:00,19:09:00,41195,3
RX_10_1_036KM_041022,19:21:00,19:21:00,41197,4
RX_10_1_036KM_041022,19:26:00,19:26:00,41375,6
RX_10_1_036KM_041022,19:27:00,19:27:00,41199,8
RX_10_1_036KM_041024,20:15:00,20:15:00,41194,1
RX_10_1_036KM_041024,20:24:00,20:24:00,41195,3
RX_10_1_036KM_041024,20:36:00,20:36:00,41197,4
RX_10_1_036KM_041024,20:41:00,20:41:00,41375,6
RX_10_1_036KM_041024,20:42:00,20:42:00,41199,8
RX_10_1_036KM_041026,21:30:00,21:30:00,41194,1
RX_10_1_036KM_041026,21:39:00,21:39:00,41195,3
RX_10_1_036KM_041026,21:51:00,21:51:00,41197,4
RX_10_1_036KM_041026,21:56:00,21:56:00,41375,6
RX_10_1_036KM_041026,21:57:00,21:57:00,41199,8
RX_10_1_036KM_041028,22:30:00,22:30:00,41194,1
RX_10_1_036KM_041028,22:39:00,22:39:00,41195,3
RX_10_1_036KM_041028,22:51:00,22:51:00,41197,4
RX_10_1_036KM_041028,22:56:00,22:56:00,41375,6
RX_10_1_036KM_041028,22:57:00,22:57:00,41199,8
RX_10_1_036KM_041030,23:30:00,23:30:00,41194,1
RX_10_1_036KM_041030,23:39:00,23:39:00,41195,3
RX_10_1_036KM_041030,23:51:00,23:51:00,41197,4
RX_10_1_036KM_041030,23:56:00,23:56:00,41375,6
RX_10_1_036KM_041030,23:57:00,23:57:00,41199,8
RX_10_1_036KM_051003,07:00:00,07:00:00,41194,1
RX_10_1_036KM_051003,07:09:00,07:09:00,41195,3
RX_10_1_036KM_051003,07:21:00,07:21:00,41197,4
RX_10_1_036KM_051003,07:26:00,07:26:00,41375,6
RX_10_1_036KM_051003,07:27:00,07:27:00,41199,8
RX_10_1_036KM_051005,08:15:00,08:15:00,41194,1
RX_10_1_036KM_051005,08:24:00,08:24:00,41195,3
RX_10_1_036KM_051005,08:36:00,08:36:00,41197,4
RX_10_1_036KM_051005,08:41:00,08:41:00,41375,6
RX_10_1_036KM_051005,08:42:00,08:42:00,41199,8
RX_10_1_036KM_051007,09:30:00,09:30:00,41194,1
RX_10_1_036KM_051007,09:39:00,09:39:00,41195,3
RX_10_1_036KM_051007,09:51:00,09:51:00,41197,4
RX_10_1_036KM_051007,09:56:00,09:56:00,41375,6
RX_10_1_036KM_051007,09:57:00,09:57:00,41199,8
RX_10_1_036KM_051009,10:45:00,10:45:00,41194,1
RX_10_1_036KM_051009,10:54:00,10:54:00,41195,3
RX_10_1_036KM_051009,11:06:00,11:06:00,41197,4
RX_10_1_036KM_051009,11:11:00,11:11:00,41375,6
RX_10_1_036KM_051009,11:12:00,11:12:00,41199,8
RX_10_1_036KM_051011,12:00:00,12:00:00,41194,1
RX_10_1_036KM_051011,12:09:00,12:09:00,41195,3
RX_10_1_036KM_051011,12:21:00,12:21:00,41197,4
RX_10_1_036KM_051011,12:26:00,12:26:00,41375,6
RX_10_1_036KM_051011,12:27:00,12:27:00,41199,8
RX_10_1_036KM_051013,13:15:00,13:15:00,41194,1
RX_10_1_036KM_051013,13:24:00,13:24:00,41195,3
RX_10_1_036KM_051013,13:36:00,13:36:00,41197,4
RX_10_1_036KM_051013,13:41:00,13:41:00,41375,6
RX_10_1_036KM_051013,13:42:00,13:42:00,41199,8
RX_10_1_036KM_051015,14:30:00,14:30:00,41194,1
RX_10_1_036KM_051015,14:39:00,14:39:00,41195,3
RX_10_1_036KM_051015,14:51:00,14:51:00,41197,4
RX_10_1_036KM_051015,14:56:00,14:56:00,41375,6
RX_10_1_036KM_051015,14:57:00,14:57:00,41199,8
RX_10_1_036KM_051017,15:45:00,15:45:00,41194,1
RX_10_1_036KM_051017,15:54:00,15:54:00,41195,3
RX_10_1_036KM_051017,16:06:00,16:06:00,41197,4
RX_10_1_036KM_051017,16:11:00,16:11:00,41375,6
RX_10_1_036KM_051017,16:12:00,16:12:00,41199,8
RX_10_1_036KM_051019,17:00:00,17:00:00,41194,1
RX_10_1_036KM_051019,17:09:00,17:09:00,41195,3
RX_10_1_036KM_051019,17:21:00,17:21:00,41197,4
RX_10_1_036KM_051019,17:26:00,17:26:00,41375,6
RX_10_1_036KM_051019,17:27:00,17:27:00,41199,8
RX_10_1_036KM_051021,18:15:00,18:15:00,41194,1
RX_10_1_036KM_051021,18:24:00,18:24:00,41195,3
RX_10_1_036KM_051021,18:36:00,18:36:00,41197,4
RX_10_1_036KM_051021,18:41:00,18:41:00,41375,6
RX_10_1_036KM_051021,18:42:00,18:42:00,41199,8
RX_10_1_036KM_051023,19:30:00,19:30:00,41194,1
RX_10_1_036KM_051023,19:39:00,19:39:00,41195,3
RX_10_1_036KM_051023,19:51:00,19:51:00,41197,4
RX_10_1_036KM_051023,19:56:00,19:56:00,41375,6
RX_10_1_036KM_051023,19:57:00,19:57:00,41199,8
RX_10_1_036KM_051025,20:45:00,20:45:00,41194,1
RX_10_1_036KM_051025,20:54:00,20:54:00,41195,3
RX_10_1_036KM_051025,21:06:00,21:06:00,41197,4
RX_10_1_036KM_051025,21:11:00,21:11:00,41375,6
RX_10_1_036KM_051025,21:12:00,21:12:00,41199,8
RX_10_2_036KM_011003,05:00:00,05:00:00,41199,1
RX_10_2_036KM_011003,05:01:00,05:01:00,41375,3
RX_10_2_036KM_011003,05:06:00,05:06:00,41198,5
RX_10_2_036KM_011003,05:18:00,05:18:00,41196,6
RX_10_2_036KM_011003,05:27:00,05:27:00,41194,8
RX_10_2_036KM_011005,06:07:00,06:07:00,41199,1
RX_10_2_036KM_011005,06:08:00,06:08:00,41375,3
RX_10_2_036KM_011005,06:13:00,06:13:00,41198,5
RX_10_2_036KM_011005,06:25:00,06:25:00,41196,6
RX_10_2_036KM_011005,06:34:00,06:34:00,41194,8
RX_10_2_036KM_011007,07:22:00,07:22:00,41199,1
RX_10_2_036KM_011007,07:23:00,07:23:00,41375,3
RX_10_2_036KM_011007,07:28:00,07:28:00,41198,5
RX_10_2_036KM_011007,07:40:00,07:40:00,41196,6
RX_10_2_036KM_011007,07:49:00,07:49:00,41194,8
RX_10_2_036KM_011009,08:37:00,08:37:00,41199,1
RX_10_2_036KM_011009,08:38:00,08:38:00,41375,3
RX_10_2_036KM_011009,08:43:00,08:43:00,41198,5
RX_10_2_036KM_011009,08:55:00,08:55:00,41196,6
RX_10_2_036KM_011009,09:04:00,09:04:00,41194,8
RX_10_2_036KM_011011,09:52:00,09:52:00,41199,1
RX_10_2_036KM_011011,09:53:00,09:53:00,41375,3
RX_10_2_036KM_011011,09:58:00,09:58:00,41198,5
RX_10_2_036KM_011011,10:10:00,10:10:00,41196,6
RX_10_2_036KM_011011,10:19:00,10:19:00,41194,8
RX_10_2_036KM_011013,11:07:00,11:07:00,41199,1
RX_10_2_036KM_011013,11:08:00,11:08:00,41375,3
RX_10_2_036KM_011013,11:13:00,11:13:00,41198,5
RX_10_2_036KM_011013,11:25:00,11:25:00,41196,6
RX_10_2_036KM_011013,11:34:00,11:34:00,41194,8
RX_10_2_036KM_011015,12:22:00,12:22:00,41199,1
RX_10_2_036KM_011015,12:23:00,12:23:00,41375,3
RX_10_2_036KM_011015,12:28:00,12:28:00,41198,5
RX_10_2_036KM_011015,12:40:00,12:40:00,41196,6
RX_10_2_036KM_011015,12:49:00,12:49:00,41194,8
RX_10_2_036KM_011017,13:37:00,13:37:00,41199,1
RX_10_2_036KM_011017,13:38:00,13:38:00,41375,3
RX_10_2_036KM_011017,13:43:00,13:43:00,41198,5
RX_10_2_036KM_011017,13:55:00,13:55:00,41196,6
RX_10_2_036KM_011017,14:04:00,14:04:00,41194,8
RX_10_2_036KM_011019,14:52:00,14:52:00,41199,1
RX_10_2_036KM_011019,14:53:00,14:53:00,41375,3
RX_10_2_036KM_011019,14:58:00,14:58:00,41198,5
RX_10_2_036KM_011019,15:10:00,15:10:00,41196,6
RX_10_2_036KM_011019,15:19:00,15:19:00,41194,8
RX_10_2_036KM_011021,16:07:00,16:07:00,41199,1
RX_10_2_036KM_011021,16:08:00,16:08:00,41375,3
RX_10_2_036KM_011021,16:13:00,16:13:00,41198,5
RX_10_2_036KM_011021,16:25:00,16:25:00,41196,6
RX_10_2_036KM_011021,16:34:00,16:34:00,41194,8
RX_10_2_036KM_011023,17:22:00,17:22:00,41199,1
RX_10_2_036KM_011023,17:23:00,17:23:00,41375,3
RX_10_2_036KM_011023,17:28:00,17:28:00,41198,5
RX_10_2_036KM_011023,17:40:00,17:40:00,41196,6
RX_10_2_036KM_011023,17:49:00,17:49:00,41194,8
RX_10_2_036KM_011025,18:37:00,18:37:00,41199,1
RX_10_2_036KM_011025,18:38:00,18:38:00,41375,3
RX_10_2_036KM_011025,18:43:00,18:43:00,41198,5
RX_10_2_036KM_011025,18:55:00,18:55:00,41196,6
RX_10_2_036KM_011025,19:04:00,19:04:00,41194,8
RX_10_2_036KM_011027,19:52:00,19:52:00,41199,1
RX_10_2_036KM_011027,19:53:00,19:53:00,41375,3
RX_10_2_036KM_011027,19:58:00,19:58:00,41198,5
RX_10_2_036KM_011027,20:10:00,20:10:00,41196,6
RX_10_2_036KM_011027,20:19:00,20:19:00,41194,8
RX_10_2_036KM_011029,21:07:00,21:07:00,41199,1
RX_10_2_036KM_011029,21:08:00,21:08:00,41375,3
RX_10_2_036KM_011029,21:13:00,21:13:00,41198,5
RX_10_2_036KM_011029,21:25:00,21:25:00,41196,6
RX_10_2_036KM_011029,21:34:00,21:34:00,41194,8
RX_10_2_036KM_021003,05:30:00,05:30:00,41199,1
RX_10_2_036KM_021003,05:31:00,05:31:00,41375,3
RX_10_2_036KM_021003,05:36:00,05:36:00,41198,5
RX_10_2_036KM_021003,05:48:00,05:48:00,41196,6
RX_10_2_036KM_021003,05:57:00,05:57:00,41194,8
RX_10_2_036KM_021005,06:37:00,06:37:00,41199,1
RX_10_2_036KM_021005,06:38:00,06:38:00,41375,3
RX_10_2_036KM_021005,06:43:00,06:43:00,41198,5
RX_10_2_036KM_021005,06:55:00,06:55:00,41196,6
RX_10_2_036KM_021005,07:04:00,07:04:00,41194,8
RX_10_2_036KM_021007,07:52:00,07:52:00,41199,1
RX_10_2_036KM_021007,07:53:00,07:53:00,41375,3
RX_10_2_036KM_021007,07:58:00,07:58:00,41198,5
RX_10_2_036KM_021007,08:10:00,08:10:00,41196,6
RX_10_2_036KM_021007,08:19:00,08:19:00,41194,8
RX_10_2_036KM_021009,09:07:00,09:07:00,41199,1
RX_10_2_036KM_021009,09:08:00,09:08:00,41375,3
RX_10_2_036KM_021009,09:13:00,09:13:00,41198,5
RX_10_2_036KM_021009,09:25:00,09:25:00,41196,6
RX_10_2_036KM_021009,09:34:00,09:34:00,41194,8
RX_10_2_036KM_021011,10:22:00,10:22:00,41199,1
RX_10_2_036KM_021011,10:23:00,10:23:00,41375,3
RX_10_2_036KM_021011,10:28:00,10:28:00,41198,5
RX_10_2_036KM_021011,10:40:00,10:40:00,41196,6
RX_10_2_036KM_021011,10:49:00,10:49:00,41194,8
RX_10_2_036KM_021013,11:37:00,11:37:00,41199,1
RX_10_2_036KM_021013,11:38:00,11:38:00,41375,3
RX_10_2_036KM_021013,11:43:00,11:43:00,41198,5
RX_10_2_036KM_021013,11:55:00,11:55:00,41196,6
